"shift","load","timestamp_iso","time","ore","tonnes","interval_s","cumulative_t","trucks","excavators","loaders"
"shift","1","2026-09-14T23:03:29.940Z","07:03:29","Marawuwung","25.5","","25.5","6","2","2"
"shift","2","2026-09-14T23:14:38.128Z","07:14:38","Marawuwung","25.5","668","51","6","2","2"
"shift","3","2026-09-14T23:17:05.765Z","07:17:05","Araren","25.5","148","76.5","6","2","2"
"shift","4","2026-09-14T23:20:22.032Z","07:20:22","Araren","25.5","196","102","6","2","2"
"shift","5","2026-09-14T23:25:15.980Z","07:25:15","Araren","25.5","294","127.5","6","2","2"
"shift","6","2026-09-14T23:28:39.059Z","07:28:39","Araren","25.5","203","153","6","2","2"
"shift","7","2026-09-14T23:32:38.931Z","07:32:38","Marawuwung","25.5","240","178.5","6","2","2"
"shift","8","2026-09-14T23:35:06.999Z","07:35:06","Araren","25.5","148","204","6","2","2"
"shift","9","2026-09-14T23:40:23.442Z","07:40:23","Araren","25.5","316","229.5","6","2","2"
"shift","10","2026-09-14T23:45:56.853Z","07:45:56","Araren","25.5","333","255","6","2","2"
"shift","11","2026-09-14T23:49:19.162Z","07:49:19","Marawuwung","25.5","202","280.5","6","2","2"
"shift","12","2026-09-14T23:54:24.677Z","07:54:24","Marawuwung","25.5","306","306","6","2","2"
"shift","13","2026-09-14T23:57:21.948Z","07:57:21","Araren","25.5","177","331.5","6","2","2"
"shift","14","2026-09-14T23:59:07.524Z","07:59:07","Araren","25.5","106","357","6","2","2"
"shift","15","2026-09-15T00:05:20.546Z","08:05:20","Toka","25.5","373","382.5","6","2","2"
"shift","16","2026-09-15T00:09:42.818Z","08:09:42","Toka","25.5","262","408","6","2","2"
"shift","17","2026-09-15T00:15:45.865Z","08:15:45","Toka","25.5","363","433.5","6","2","2"
"shift","18","2026-09-15T00:18:46.858Z","08:18:46","Marawuwung","25.5","181","459","6","2","2"
"shift","19","2026-09-15T00:20:54.188Z","08:20:54","Araren","25.5","127","484.5","6","2","2"
"shift","20","2026-09-15T00:24:23.385Z","08:24:23","Araren","25.5","209","510","6","2","2"
"shift","21","2026-09-15T00:28:33.068Z","08:28:33","Araren","25.5","250","535.5","6","2","2"
"shift","22","2026-09-15T00:32:49.605Z","08:32:49","Araren","25.5","257","561","6","2","2"
"shift","23","2026-09-15T00:40:38.736Z","08:40:38","Marawuwung","25.5","469","586.5","6","2","2"
"shift","24","2026-09-15T00:47:52.805Z","08:47:52","Marawuwung","25.5","434","612","6","2","2"
"shift","25","2026-09-15T00:51:32.686Z","08:51:32","Araren","25.5","220","637.5","6","2","2"
